,capture,param_name,file_name,object_type
0,.+,aDeviceName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
1,.+,aDeviceName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
2,.+,aConnectionTypeName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
3,.+,aComboboxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QComboBox
4,\\d,aIndex,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QComboBox
5,.+,aItemName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QComboBox
6,.+,aComboBoxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QComboBox
7,.+,aComboBoxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QComboBox
8,.+,aComboBoxText,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QComboBox
9,.+,aLineEditName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLineEdit
10,.+,aText,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLineEdit
11,.+,aLineEditName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLineEdit
12,.+,aLineEditName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
13,.+,aText,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
14,.+,aItemName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
15,.+,aButtonBoxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QDialogButtonBox
16,.+,aButtonName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QPushButton
17,enabled|disabled,aButtonState,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QPushButton
18,.+,aText,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLineEdit
19,.+,aInputField,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLineEdit
20,.+,aInputField,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLineEdit
21,.+,aInputField,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLineEdit
22,.+,aLineEditName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLineEdit
23,\\d+,aNumber,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
24,\\d+,aNumber,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
25,increase|decrease,aAction,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractSpinBox
26,.+,aSpinboxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractSpinBox
27,\\d+,aValue,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractSpinBox
28,.+,aSpinboxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractSpinBox
29,-?\\d+,aValue,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractSpinBox
30,.+,aSpinboxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractSpinBox
31,.+,aValue,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractSpinBox
32,.+,aButtonName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractButton
33,|not ,aState,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractButton
34,.+,aButtonName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractButton
35,.+,aRadioButtonName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QRadioButton
36,.+,aRadioButtonName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QRadioButton
37,.+,aCheckBoxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QCheckBox
38,.+,aCheckBoxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QCheckBox
39,save|dont save,aSaveState,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
40,save|dont save,aSaveState,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
41,\\d,aIndex,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
42,.+,aButtonName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QPushButton
43,\\d,aDeviceTabsAmount,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
44,.+,aWindowName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,
45,.+,aSpinboxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractSpinBox
46,.+,aLineEditName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLineEdit
47,.+,aSpinboxName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QAbstractSpinBox
48,.+,aLineEditName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLineEdit
49,.+,atextEditName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QPlainTextEdit
50,.+,aLabelName,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLabel
51,.+,aLabelText,/test/cucumber/plugin/src/CucumberCoreTests.cpp,QLabel
